,latitude,longitude,qtd
0,-16.57603501740237,-49.26240164571678,2.0
1,-16.687637617357765,-49.197971428276574,9.0
2,-16.637648997888814,-49.1494505826418,10.0
3,-16.677109074926737,-49.309254987499735,2.0
4,-16.520167349863716,-49.25048229812385,12.0
5,-16.690383859983747,-49.26412757478737,1.0
6,-16.6435929695258,-49.25071925806839,3.0
7,-16.588148471557457,-49.21990822894199,8.0
8,-16.656545286274728,-49.27864168789144,7.0
9,-16.62982439982886,-49.31838937618623,12.0
10,-16.603275800268193,-49.241285020214654,2.0
11,-16.705400581907348,-49.27380946750566,13.0
12,-16.558348040361345,-49.24786207215567,6.0
13,-16.60658538358479,-49.308977809751774,5.0
14,-16.55968785264349,-49.30032457284277,12.0
15,-16.706091237755643,-49.30805128803414,14.0
16,-16.691400145650732,-49.23988120308202,5.0
17,-16.590624915308727,-49.2656666396322,14.0
18,-16.624692266724246,-49.29563713404576,15.0
19,-16.542783600871896,-49.24753813334009,9.0
20,-16.606456105120802,-49.228462759348425,15.0
21,-16.767453885249775,-49.20494272385076,4.0
22,-16.60267597118817,-49.28384566376448,2.0
23,-16.761848372679943,-49.26349157908884,7.0
24,-16.666361850099683,-49.26240592083288,5.0
25,-16.647641397142777,-49.28455907182187,15.0
26,-16.71013384965514,-49.25703848117306,13.0
27,-16.688460606756934,-49.204773993737234,8.0
28,-16.758808696617038,-49.23093112112382,10.0
29,-16.57689478700481,-49.20429582662189,7.0
30,-16.694114219344335,-49.18867401937144,10.0
31,-16.653606987980137,-49.35619964056235,3.0
32,-16.613306081713404,-49.26938652108018,15.0
33,-16.589532187300794,-49.30264057243734,6.0
34,-16.63201217068923,-49.23098807393959,8.0
35,-16.70328942466205,-49.33504782900289,5.0
36,-16.59970299519078,-49.31067291206303,8.0
37,-16.711775894762113,-49.23965354916788,3.0
38,-16.633138634612223,-49.218068972848506,12.0
39,-16.628606506253167,-49.191203480643935,10.0
40,-16.63635567954151,-49.20701472052272,4.0
41,-16.69914086520945,-49.21881576476967,13.0
42,-16.63123788597688,-49.191453144622926,12.0
43,-16.65621326964975,-49.296383779447964,4.0
44,-16.583857812742043,-49.28908060052593,5.0
45,-16.656294119143435,-49.20179304847509,7.0
46,-16.629591968287635,-49.25695811535624,11.0
47,-16.69410203357227,-49.1722422872321,9.0
48,-16.66418130456031,-49.20182816206227,12.0
49,-16.664063240940116,-49.096742338402265,14.0
50,-16.62899954029384,-49.21173402750724,3.0
51,-16.630223755945966,-49.1812809087637,6.0
52,-16.664153572416613,-49.28932074192527,11.0
53,-16.647352690630374,-49.17970406199054,13.0
54,-16.60810511287048,-49.26359931074212,6.0
55,-16.593773003097763,-49.24562184837247,6.0
56,-16.654674027149916,-49.23526913855762,5.0
57,-16.639404986831533,-49.22217087387752,8.0
58,-16.669118574935666,-49.3122124765284,1.0
59,-16.694603720818,-49.359152470701865,12.0
60,-16.648938410224883,-49.21117486290071,8.0
61,-16.644401094352556,-49.22479351202608,5.0
62,-16.719948703910816,-49.30094263499154,4.0
63,-16.653573844402196,-49.22216195665719,8.0
64,-16.760599884981286,-49.22650561669358,11.0
65,-16.568323517651407,-49.32851821420695,10.0
66,-16.642302114510795,-49.183421544233305,6.0
67,-16.628317780229914,-49.249999775352016,2.0
68,-16.62630605578249,-49.27462331057644,5.0
69,-16.73942568372778,-49.31855206929515,5.0
70,-16.544218916031298,-49.27880600590872,5.0
71,-16.596000161472773,-49.19975086331127,8.0
72,-16.670408027259942,-49.23888814595936,8.0
73,-16.73688325995766,-49.17948141458188,8.0
74,-16.633835866365306,-49.30056683706386,13.0
75,-16.706768590537603,-49.28785183937036,11.0
76,-16.671499901618002,-49.20366332640137,1.0
77,-16.624559372217366,-49.241722453052056,7.0
78,-16.674729014119677,-49.21123107846714,3.0
79,-16.645587871842388,-49.19940963935932,13.0
80,-16.628630833300843,-49.287293845593545,5.0
81,-16.66824990141325,-49.269931531803465,15.0
82,-16.625944598026887,-49.266742890258,13.0
83,-16.676980082926598,-49.22220493463291,15.0
84,-16.651250796361595,-49.23855854917831,11.0
85,-16.681881257374,-49.1644586770748,5.0
86,-16.661999873197047,-49.23537611735434,12.0
87,-16.663073839695624,-49.194285224274026,1.0
88,-16.717684432096522,-49.20337637705905,15.0
89,-16.749628731857555,-49.20422895022229,2.0
90,-16.648389493597396,-49.25706437621682,11.0
91,-16.690418182575698,-49.235796336243446,7.0
92,-16.697511561287108,-49.22314245870229,1.0
93,-16.668863052282543,-49.23616209705445,4.0
94,-16.569421756073623,-49.2191591063937,6.0
95,-16.657922519322753,-49.323832771400845,7.0
96,-16.725796552155803,-49.22861622239833,3.0
97,-16.731645842659244,-49.34927825652476,8.0
98,-16.6874274403958,-49.245379317179776,10.0
99,-16.664700793925252,-49.264547086169095,5.0
100,-16.7295138231143,-49.28883218529284,9.0
101,-16.675669878772496,-49.32582609800783,10.0
102,-16.594292238866018,-49.269087088574615,3.0
103,-16.559385748860596,-49.21300791018757,3.0
104,-16.636985691984478,-49.198070164800136,9.0
105,-16.633275608411676,-49.23623305074008,2.0
106,-16.62152611428497,-49.17189424245001,2.0
107,-16.65845361576956,-49.23767142885836,11.0
108,-16.645743062176237,-49.29973433088995,6.0
109,-16.666280774887625,-49.2436882039947,13.0
110,-16.585100178537786,-49.201599748181536,8.0
111,-16.726759328072323,-49.23907212891534,8.0
112,-16.6937178676379,-49.25989210158825,15.0
113,-16.66581603400383,-49.232366932913294,5.0
114,-16.649111284335632,-49.18048734647734,2.0
115,-16.57288319174397,-49.2703571873932,8.0
116,-16.634817264418167,-49.288381211376816,12.0
117,-16.62277044267831,-49.19447280213454,14.0
118,-16.59276186699882,-49.23147151802211,12.0
119,-16.703128265510692,-49.34014132992954,11.0
120,-16.689419575088053,-49.24258467151851,14.0
121,-16.598206419637677,-49.25726588306685,10.0
122,-16.647419669040914,-49.2275793886294,10.0
123,-16.706367891217596,-49.2658153352174,7.0
124,-16.75443993613554,-49.2560408763869,8.0
125,-16.619047710627463,-49.20867932648891,11.0
126,-16.622261485599843,-49.18015587135314,11.0
127,-16.61261657552755,-49.260775537370286,12.0
128,-16.694549109969934,-49.28066609744722,14.0
129,-16.720968964628028,-49.27876632721099,14.0
130,-16.63096042242215,-49.33124033540075,12.0
131,-16.70982952935723,-49.32237236605316,2.0
132,-16.66919577219461,-49.22630421651265,12.0
133,-16.59990643571252,-49.2803888925984,14.0
134,-16.681279512049485,-49.23711032534865,5.0
135,-16.6957077403005,-49.35075374118416,13.0
136,-16.67375205761007,-49.26580621113535,6.0
137,-16.59592913979101,-49.228397291541846,13.0
138,-16.7203865247385,-49.23777792865648,15.0
139,-16.676821272814408,-49.19919411630064,10.0
140,-16.636773353081246,-49.24279712769454,10.0
141,-16.634746530676573,-49.25241150435054,7.0
142,-16.555831165032348,-49.27159331499686,8.0
143,-16.72655027958453,-49.2092880793995,12.0
144,-16.57934098619221,-49.22605700294381,6.0
145,-16.650429782975145,-49.34358573483591,8.0
146,-16.657855661401243,-49.26942794326063,7.0
147,-16.691636949768206,-49.253061673295065,10.0
148,-16.61197314395846,-49.3471483622054,5.0
149,-16.619070683781132,-49.27180706985831,8.0
150,-16.600907712937435,-49.31662374551469,4.0
151,-16.641026715843648,-49.29959594478115,13.0
152,-16.68143247292308,-49.22477760058712,8.0
153,-16.663103455160638,-49.28200354479645,1.0
154,-16.684805425913922,-49.26251039888761,10.0
155,-16.68242886972399,-49.24120152942727,1.0
156,-16.676158466677997,-49.27296475563783,12.0
157,-16.728688631406833,-49.34003845729203,3.0
158,-16.6347123343231,-49.22699355327697,7.0
159,-16.68638345414877,-49.32304290321665,3.0
160,-16.68448535196606,-49.315318707414114,13.0
161,-16.772786419139443,-49.24937202572023,5.0
162,-16.735122949940692,-49.194703826126734,12.0
163,-16.67940572704729,-49.22780540466022,1.0
164,-16.703053741262778,-49.21125763979143,15.0
165,-16.791151037557555,-49.23804835420966,14.0
166,-16.675103091933654,-49.27374613356178,9.0
167,-16.64461987285432,-49.31997424726661,1.0
168,-16.686103544725754,-49.31733772510231,12.0
169,-16.584865250713868,-49.29165212970767,10.0
170,-16.74423049290656,-49.19990981368714,1.0
171,-16.65356577885999,-49.34003300604032,11.0
172,-16.64386820453791,-49.24406045060211,11.0
173,-16.633089175102917,-49.202644046948365,1.0
174,-16.702801327000103,-49.27211871980624,14.0
175,-16.6406985510725,-49.308071934891096,7.0
176,-16.722801115886746,-49.232284998209664,7.0
177,-16.709726099574226,-49.23249343816232,2.0
178,-16.691780866129598,-49.33094928213232,6.0
179,-16.664753708988854,-49.19605658102026,6.0
180,-16.67218222312283,-49.24482430043759,3.0
181,-16.644173526166508,-49.27024335435497,7.0
182,-16.613351190081154,-49.23098848443133,4.0
183,-16.72198590024942,-49.24732081977004,5.0
184,-16.69295931410707,-49.22158006092556,11.0
185,-16.670917674061698,-49.2634618584178,11.0
186,-16.618512661323976,-49.287671655815615,12.0
187,-16.64602283723998,-49.326625095242605,15.0
188,-16.7734591667897,-49.3529155858093,10.0
189,-16.637959748669946,-49.14893337032685,8.0
190,-16.663413891682882,-49.274401172367774,14.0
191,-16.707162189543485,-49.15426073407478,8.0
192,-16.689267699473206,-49.21384747476678,15.0
193,-16.70456475429111,-49.280076436238446,1.0
194,-16.62124230950929,-49.25666656700862,6.0
195,-16.706319088807508,-49.19898965596676,9.0
196,-16.639052818711235,-49.24581373624197,7.0
197,-16.622263165373425,-49.24235628857336,3.0
198,-16.70877637859308,-49.29762320979234,2.0
199,-16.617045080983996,-49.18217536784751,1.0
200,-16.712832979962403,-49.25587536657587,15.0
201,-16.671845238685247,-49.273203236992536,11.0
202,-16.690385220810448,-49.26500042864997,5.0
203,-16.64788654866015,-49.23588754688832,6.0
204,-16.646884155450316,-49.24786178277494,14.0
205,-16.6388128090949,-49.30842288899628,12.0
206,-16.58597110689388,-49.28343287381627,5.0
207,-16.631063601171796,-49.25829252802143,8.0
208,-16.61742669262666,-49.27118979405993,14.0
209,-16.632917282966705,-49.201735123579056,8.0
210,-16.677288521671223,-49.273220997471896,14.0
211,-16.677291938598245,-49.213599210717376,9.0
212,-16.604762166714664,-49.1962436373725,3.0
213,-16.572340511504507,-49.22003724610324,3.0
214,-16.624478260985413,-49.2761866846582,8.0
215,-16.66786693833233,-49.23490174105056,14.0
216,-16.71625512732462,-49.22207813908109,9.0
217,-16.650449746655198,-49.25062343338252,9.0
218,-16.751203519036274,-49.26110731268775,7.0
219,-16.70704701958751,-49.21757717020003,5.0
220,-16.622478792436006,-49.283706554935584,3.0
221,-16.632378297449605,-49.23074628009648,2.0
222,-16.62284307138833,-49.26731636392905,8.0
223,-16.618516179150248,-49.25999261934225,6.0
224,-16.657440605690066,-49.25251273542292,14.0
225,-16.6479774767794,-49.22470999976198,13.0
226,-16.641202667027393,-49.302083789259086,11.0
227,-16.68321900929997,-49.22864255332537,7.0
228,-16.680431629469563,-49.28237275490292,6.0
229,-16.6833052784443,-49.301662901848815,5.0
230,-16.66649702595418,-49.21766322653448,3.0
231,-16.734537576470743,-49.30493728437521,7.0
232,-16.708980295471363,-49.295130797521,6.0
233,-16.66660793937861,-49.2901646206003,7.0
234,-16.68366298020541,-49.25779193514483,7.0
235,-16.68592513584838,-49.300792284631584,14.0
236,-16.65853249868879,-49.22499872315547,1.0
237,-16.784728159905384,-49.2443549597415,3.0
238,-16.67768027523164,-49.20182457048617,4.0
239,-16.62860834489131,-49.24397793077242,4.0
240,-16.661334202241143,-49.22301972308399,1.0
241,-16.7579909600575,-49.26277703441905,4.0
242,-16.702006626125577,-49.28504874327635,1.0
243,-16.61648662226349,-49.23882067380491,9.0
244,-16.70312121837213,-49.2371261542804,4.0
245,-16.75135503370788,-49.27828037287038,9.0
246,-16.613522683943888,-49.3300482566969,1.0
247,-16.62192515052201,-49.281134158072994,7.0
248,-16.730814241039187,-49.20870581351133,12.0
249,-16.702337939993754,-49.22835941002181,5.0
250,-16.6065146005586,-49.14072488823777,9.0
251,-16.633792563527244,-49.221032114008814,13.0
252,-16.62005722620428,-49.26486072344726,6.0
253,-16.617329464150345,-49.2026185295444,2.0
254,-16.581967847146437,-49.21947380119801,10.0
255,-16.6148320982104,-49.318387296842616,14.0
256,-16.62675599414293,-49.25796885192327,1.0
